track_uri,track_name,track_pop,artist_uri,artist_name,artist_pop,artist_genres,album,album_uri,danceability,energy,key,mode,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_genre
533aNRdHHLdI9tiTvqPqjt,All in Good Time,60,4M5nCE77Qaxayuhp3fVn4V,Iron & Wine,62,"['acoustic pop', 'chamber pop', 'indie folk', 'indie rock', 'stomp and holler']",All in Good Time,spotify:album:6kVfufglPPPTLPWQkvHPaR,0.294,0.374,1,1,-11.075,0.0329,0.413,2.48e-06,0.117,0.629,197.472,255338,3,rock
6038Yj83tztaf22nodgd2L,U.S. Blues - Takes 1 and 2,36,4TMHGUX5WI7OOm53PqSDAT,Grateful Dead,64,"['cosmic american', 'jam band', 'psychedelic rock']",From the Mars Hotel: The Angel's Share,spotify:album:0U8ec9AzCbzMNNFEAAteQY,0.572,0.66,9,1,-16.558,0.0426,0.577,0.861,0.12,0.952,149.516,310999,4,rock
4E5LPKQhYz4uUIBWELLyIq,I Fall in Love Too Easily,50,4uSftVc3FPWe6RJuMZNEe9,Andrew Bird,54,"['baroque pop', 'chamber pop', 'chicago indie', 'indie rock', 'melancholia', 'stomp and holler']",I Fall in Love Too Easily,spotify:album:28PXyJCJw8D0VRjlfrm6me,0.348,0.21,0,0,-11.299,0.0592,0.825,0.00563,0.153,0.198,181.949,239293,3,rock
6zSRr1xsaDaoNXVT96kQtj,Cowboys and Plowboys,52,4MoAOfV4ROWofLG3a3hhBN,Jon Pardi,72,"['contemporary country', 'country', 'country road', 'modern country rock']",A Cowboy's Work Is Never Done,spotify:album:3BKoN7awS6VmTEzMnwMTfy,0.652,0.89,4,1,-3.471,0.034,0.00644,0.0,0.297,0.874,117.025,208064,4,rock
0YLhxYUv69go9H8iirbSWO,Showtime,64,2xaAOVImG2O6lURwqperlD,Catfish and the Bottlemen,62,"['modern alternative rock', 'modern rock', 'stomp pop', 'welsh rock']",Showtime,spotify:album:3KuRm7unewgWVJkruzxwAA,0.466,0.823,2,1,-5.974,0.0567,0.00298,9.66e-05,0.156,0.214,81.641,280016,4,rock
4OiL5M05HmrnBk1AOdHNe0,Wanting and Waiting,53,5krkohEVJYw0qoB5VWwxaC,The Black Crowes,60,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'hard rock', 'heartland rock', 'jam band', 'rock', 'southern rock']",Happiness Bastards,spotify:album:2P9mQHy3lFG8OhPKqg3XeX,0.493,0.921,7,1,-3.063,0.0333,0.000118,0.000179,0.159,0.449,117.531,255560,4,rock
6cozBYQwp7SwbZ4VhurJJL,Outlaws and Mustangs,49,2v7wIbCkIzxOfT3GnqCexD,Cody Jinks,63,"['classic texas country', 'modern southern rock', 'outlaw country']",Change the Game,spotify:album:1OPgbhagGvc0wFx5ztKdwy,0.455,0.842,6,1,-5.024,0.0277,0.00235,0.000755,0.155,0.508,96.659,240026,4,rock
2SprbOeFdglaLgZoCcytuu,Be Quiet and Drive (Far Away) – Spotify Singles,56,6FfjnGXMhxSsJTuGLWBDth,HEALTH,57,"['grave wave', 'metropopolis', 'noise pop', 'noise rock']",Be Quiet and Drive (Far Away) – Spotify Singles,spotify:album:6jAdEVjL2cnwhhywkdmIzr,0.469,0.912,1,1,-4.899,0.0467,8.6e-05,0.892,0.0682,0.636,82.522,187189,4,rock
14P8LhjbdysoOL12T5gAOe,Sierra Vista,59,4qU7IJSReZnsLy5907Mtau,Richy Mitch & The Coal Miners,71,['modern folk rock'],Sierra Vista,spotify:album:5hmhuNvmtuWJXfGeT6Qbcr,0.406,0.497,8,0,-11.492,0.0631,0.865,0.00227,0.291,0.229,84.215,155000,4,rock
2RMgDzKU002S6IcwWwG9i1,Northstar,59,4qU7IJSReZnsLy5907Mtau,Richy Mitch & The Coal Miners,71,['modern folk rock'],Northstar,spotify:album:39pzlLbw6YFVbuguj9DFeI,0.737,0.399,10,1,-14.397,0.0322,0.769,0.000638,0.146,0.672,111.942,179259,4,rock
4CfSXCf9plsLsarC2iLsIH,Rats and Clowns,52,5krkohEVJYw0qoB5VWwxaC,The Black Crowes,60,"['album rock', 'blues rock', 'classic rock', 'electric blues', 'hard rock', 'heartland rock', 'jam band', 'rock', 'southern rock']",Happiness Bastards,spotify:album:2P9mQHy3lFG8OhPKqg3XeX,0.453,0.929,2,1,-3.339,0.0439,0.000421,0.0114,0.18,0.45,138.658,213640,4,rock
2G8V2smFvDr3EthQFL488i,"To Hell With The Devil (RISE) [From the Inspired By Soundtrack ""Unsung Hero""]",56,3sDbKMebVH2VYcRSl7u1VC,for KING & COUNTRY,62,"['ccm', 'christian alternative rock', 'christian indie', 'christian music', 'world worship']","To Hell With The Devil (RISE) [From the Inspired By Soundtrack ""Unsung Hero""]",spotify:album:77N6hkhoAC5Rp2SSPs49dC,0.501,0.806,4,0,-7.077,0.162,0.0551,0.0,0.0996,0.271,160.033,210767,4,rock
3HFD33d1GOur9PQswfVeaP,One Foot In The Grave (feat. Aaron Pauley of Of Mice & Men),56,4HrkLxQHZ5mgCtIVpiH5QX,From Ashes to New,60,['rap rock'],One Foot In The Grave (feat. Aaron Pauley of Of Mice & Men),spotify:album:2UtZm0xthYxvZdvjuNJqh7,0.356,0.977,8,0,-4.431,0.417,0.00769,1.63e-05,0.302,0.4,200.086,208055,4,rock
2eTaBifB0qMAai5GT80inJ,I’ve Grown Accustomed to Her Face,44,4uSftVc3FPWe6RJuMZNEe9,Andrew Bird,54,"['baroque pop', 'chamber pop', 'chicago indie', 'indie rock', 'melancholia', 'stomp and holler']",I Fall in Love Too Easily,spotify:album:28PXyJCJw8D0VRjlfrm6me,0.524,0.106,8,1,-16.785,0.0524,0.843,0.000747,0.164,0.218,107.525,109200,4,rock
7n3Czk07KugPQOWuqCHDmF,Teresa & Maria,68,2ic3GGGmkixOZP4qnakSA8,alyona alyona,53,"['ukrainian hip hop', 'ukrainian pop', 'ukrainian rock']",Teresa & Maria,spotify:album:0Q3a4oVaiaVAQeq9WPz5aB,0.694,0.651,7,0,-6.83,0.0342,0.321,0.0,0.111,0.251,114.037,179474,4,rock
6c4IBaa5opgDKC5mVQEauZ,Dancing In Babylon (feat. Christine and the Queens),58,0SwO7SWeDHJijQ3XNS7xEE,MGMT,73,"['alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']",Loss Of Life,spotify:album:4dJvBAUQOaaCpRqsECRooa,0.509,0.852,6,1,-6.683,0.0647,0.156,0.146,0.931,0.271,129.809,292093,4,rock
18hClnXvRu2j0BjYpfPX5B,Checking In,54,3sDbKMebVH2VYcRSl7u1VC,for KING & COUNTRY,62,"['ccm', 'christian alternative rock', 'christian indie', 'christian music', 'world worship']","Checking In (From the Inspired By Soundtrack ""Unsung Hero"")",spotify:album:5pc39dpKoqqIibRMtvrPyr,0.497,0.601,9,1,-7.452,0.0429,0.272,0.0,0.152,0.268,154.106,195189,4,rock
1qX3Aw57OCHcrEoB35nDfr,The Serpent and the King,58,2tRsMl4eGxwoNabM08Dm4I,Judas Priest,66,"['album rock', 'alternative metal', 'birmingham metal', 'glam metal', 'hard rock', 'metal', 'rock']",Invincible Shield (Deluxe Edition),spotify:album:0SgF4c7VeFBoATEdpTvgG8,0.571,0.967,10,0,-5.033,0.103,7.76e-05,0.613,0.11,0.442,110.004,259748,4,rock
00wWOJfxwRtOaDXQ5fhtGa,Tie Up,51,6yJCxee7QumYr820xdIsjo,Zac Brown Band,70,"['contemporary country', 'country', 'country road', 'modern country rock']",Pirates & Parrots (feat. Mac McAnally),spotify:album:204AnaLrCMvOeXCCO5JqH1,0.669,0.781,9,1,-4.045,0.0416,0.15,0.0,0.0841,0.75,80.028,188036,4,rock
4xq48EowmMmN5QNJZBJM0d,Beautiful Scandalous Night,51,2LFbgsbEhfilNpQYW7mied,Shane & Shane,60,"['ccm', 'christian alternative rock', 'christian music', 'roots worship', 'worship']",Beautiful Scandalous Night,spotify:album:6PUBCDO50871bMiebc5s6e,0.6,0.484,9,1,-8.146,0.0286,0.439,0.0,0.0965,0.433,135.862,251895,3,rock
0Ca2E2ULgxYOkldsff6YRh,"The Lamb, The Lion, The King",46,6qk2W9h3eE5UtPJlIatzsY,Meredith Andrews,43,"['ccm', 'christian alternative rock', 'christian music']","The Lamb, The Lion, The King",spotify:album:5Fd13g2AYPFNYjBUiWBacx,0.39,0.565,6,1,-6.176,0.0327,0.0548,0.0,0.0725,0.153,131.704,283071,4,rock
29Ll2LiajriSkFHX3SIgK2,Lost And Found,47,2mV8aJphiSHYJf43DxL7Gt,Chromeo,53,"['alternative dance', 'dance rock', 'filter house', 'indietronica', 'neo-synthpop', 'new rave', 'nu disco']",Adult Contemporary,spotify:album:3QtPRkz8qZRSxy0slIW1Ea,0.761,0.609,5,1,-6.436,0.0322,0.125,1.07e-05,0.0688,0.943,130.998,214227,4,rock
4sN4HaLYtcWCPTvHpLsNS8,Spicks & Specks - Remix,56,1LZEQNv7sE11VDY3SdxQeN,Bee Gees,75,"['disco', 'mellow gold', 'soft rock']",Spicks & Specks (Remix),spotify:album:6KEXJ1kUxZPKHU6K60weWL,0.63,0.871,7,1,-7.423,0.0384,0.00264,0.0889,0.0687,0.0518,121.275,269332,4,rock
22k0dsb8JkVXAfGciF2T5o,"Place In This World (From the Inspired By Soundtrack ""Unsung Hero"")",53,3sDbKMebVH2VYcRSl7u1VC,for KING & COUNTRY,62,"['ccm', 'christian alternative rock', 'christian indie', 'christian music', 'world worship']","Place In This World (From the Inspired By Soundtrack ""Unsung Hero"")",spotify:album:1aKvkwri139V4dnleJ8Eic,0.553,0.519,6,1,-7.644,0.0415,0.122,0.0,0.135,0.287,77.064,193920,4,rock
7clt57Mm3Md81qjMdAhPKf,Anyone's Game,52,4M5nCE77Qaxayuhp3fVn4V,Iron & Wine,62,"['acoustic pop', 'chamber pop', 'indie folk', 'indie rock', 'stomp and holler']",Anyone's Game,spotify:album:5hwXI988oNGsIbOrdc2pQ7,0.59,0.786,4,1,-10.87,0.069,0.0879,0.125,0.164,0.8,91.491,229458,4,rock
771CBX3SgJLH2yAmi6E8DV,Hall & Oates,54,75mafsNqNE1WSEVxIKuY5C,IDLES,60,"['bristol indie', 'crank wave', 'indie rock', 'modern rock']",TANGK,spotify:album:6U11VNHZAfYY3E9V4oFB2p,0.484,0.867,11,0,-4.657,0.106,0.000789,4.41e-06,0.0718,0.342,76.418,143413,4,rock
3BOU0eJQjfmhbZsQ76OJi9,You Never Know,50,4M5nCE77Qaxayuhp3fVn4V,Iron & Wine,62,"['acoustic pop', 'chamber pop', 'indie folk', 'indie rock', 'stomp and holler']",You Never Know,spotify:album:5FecyVN6cTbuI1UnwvaYcD,0.523,0.29,0,1,-12.754,0.0313,0.433,0.0197,0.108,0.498,125.26,290585,4,rock
5iJViNLHsoOlulhrDVDJCH,Heaven's Frequency,43,6qk2W9h3eE5UtPJlIatzsY,Meredith Andrews,43,"['ccm', 'christian alternative rock', 'christian music']",Heaven's Frequency,spotify:album:6f1Jkfs8tfgM7G2tmUXxbj,0.603,0.758,4,1,-5.002,0.0397,0.274,0.0,0.692,0.255,110.902,255599,4,rock
4EDHnFTYWucShZRAdDKk3g,JOHN CENA,51,1q4618qKswelCGLoanFKQh,Joey Valence & Brae,59,['rap rock'],JOHN CENA,spotify:album:5HtjCoXvSy2UGkKhv9LK4K,0.746,0.907,0,1,-2.462,0.247,0.0662,0.0,0.331,0.586,95.995,163639,4,rock
52KgcW9G7eteBfTXwWPi49,Blood Moon (by the creek),46,3FMcVBx2TMq2f5gEPcUieC,Josiah and the Bonnevilles,61,"['modern folk rock', 'stomp and holler']",by the creek,spotify:album:1JunOuOuMj7powLSWFUL5l,0.485,0.484,5,0,-9.405,0.0323,0.76,0.00154,0.239,0.444,146.025,152485,4,rock
49jM6dpP90bqezKoM6iYuN,Between the Earth and the Stars - Live in Berlin,13,0SD4eZCN4Kr0wQk56hCdh2,Bonnie Tyler,66,"['europop', 'new wave pop', 'soft rock']",In Berlin,spotify:album:0Q66TaAigeYo3etuN3gOqb,0.322,0.68,4,1,-4.991,0.0937,0.439,0.0,0.266,0.354,146.226,271485,4,rock
6VjD0MJwrKQjaJesWAy6hd,Olustee,47,1Jl8u1U1GtBlwocZK5LWZv,JJ Grey & Mofro,51,"['jam band', 'modern blues', 'modern blues rock', 'swamp rock']",Olustee,spotify:album:1TK4IGwafhUenf6NTJsVPH,0.524,0.857,9,0,-4.83,0.0599,0.000295,0.127,0.319,0.253,97.972,309546,4,rock
5LJ5YEEuLmD9bk9PEYiUFI,David Byrne Does Hard Times,54,74XFHRwlV6OrjEM0A2NCMF,Paramore,76,"['candy pop', 'modern rock', 'pixie', 'pop', 'pop emo', 'pop punk', 'rock']",David Byrne Does Hard Times,spotify:album:1O2vvoFvP44PCOFdxLHzst,0.751,0.745,0,1,-4.732,0.046,0.448,4.23e-05,0.0614,0.951,120.507,183098,4,rock
6h1jJrMiUkWgAVRRWuGBRg,WHERE U FROM,50,1q4618qKswelCGLoanFKQh,Joey Valence & Brae,59,['rap rock'],WHERE U FROM,spotify:album:3yb0cOpKZcCcCetFN4oCk6,0.863,0.859,3,0,-2.401,0.246,0.0416,0.0,0.257,0.582,102.954,164727,4,rock
2n09w41gAdEsJFp6bD0sBT,The Serpent and the King,47,2tRsMl4eGxwoNabM08Dm4I,Judas Priest,66,"['album rock', 'alternative metal', 'birmingham metal', 'glam metal', 'hard rock', 'metal', 'rock']",The Serpent and the King,spotify:album:53T5pDi25DmqJiQgHdinBq,0.571,0.967,10,0,-5.033,0.103,7.76e-05,0.613,0.11,0.442,110.004,259748,4,rock
3xm16wDOaTxZbzTq0gG7IU,One Last Song,46,3FMcVBx2TMq2f5gEPcUieC,Josiah and the Bonnevilles,61,"['modern folk rock', 'stomp and holler']",One Last Song,spotify:album:6dhXi5V8hkEW1tLBDjdrKJ,0.531,0.276,8,1,-10.053,0.0306,0.927,0.0,0.101,0.406,111.067,186398,4,rock
0hVxVNIVi4tzjiHgj0lGdj,Hammer And The Nail,43,5P1oS9DUTPEqcrmXDmX4p8,Blackberry Smoke,53,"['modern southern rock', 'southern rock']",Be Right Here,spotify:album:0qLbJMreDYNn32RSEEnY39,0.395,0.744,7,1,-6.781,0.0452,0.0489,0.0,0.14,0.525,122.899,174013,4,rock
6iCMtanvfSohcuXdR40AmI,One Last Song,45,3FMcVBx2TMq2f5gEPcUieC,Josiah and the Bonnevilles,61,"['modern folk rock', 'stomp and holler']",Endurance (Deluxe),spotify:album:1lHMwQNP6G1dkVeQto2yYA,0.533,0.275,8,1,-10.048,0.0307,0.928,0.0,0.101,0.4,111.181,186398,4,rock
7e9jkncMGe7obG0WYwDdZg,Ghost (by the creek),44,3FMcVBx2TMq2f5gEPcUieC,Josiah and the Bonnevilles,61,"['modern folk rock', 'stomp and holler']",by the creek,spotify:album:1JunOuOuMj7powLSWFUL5l,0.522,0.401,8,1,-10.832,0.0293,0.676,2.97e-06,0.259,0.731,152.932,144722,4,rock
2pN3ehh1hkXpwSnrJzkkpo,Nightmares & Ice Cream,48,48vDIufGC8ujPuBiTxY8dm,Palace,58,['english indie rock'],Ultrasound,spotify:album:1v6HKSKJ0gblCPbmsRQoRT,0.586,0.444,2,1,-11.307,0.0286,0.00348,0.388,0.122,0.445,129.989,245417,4,rock
4OBde8XPU9m6w80J4umSR9,Unsung Hero (Single Edit),47,3sDbKMebVH2VYcRSl7u1VC,for KING & COUNTRY,62,"['ccm', 'christian alternative rock', 'christian indie', 'christian music', 'world worship']","Crazy (Theatrical Version) [From the Inspired By Soundtrack ""Unsung Hero""]",spotify:album:2ilQHHZNq67GXNVhaOS8up,0.28,0.362,0,0,-7.713,0.034,0.779,2.7e-06,0.12,0.176,78.239,194759,4,rock
6QybVJMtaDCJjl2vPR2DcA,Dancing In Babylon (feat. Christine and the Queens),48,0SwO7SWeDHJijQ3XNS7xEE,MGMT,73,"['alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']",Dancing In Babylon (feat. Christine and the Queens),spotify:album:3QUPigEo0MoAsxxRDe3JOk,0.508,0.851,6,1,-6.674,0.0652,0.163,0.144,0.931,0.254,129.802,292093,4,rock
3gAZ0vrBKz0WAUp7dkl81N,God Made A New Chord - Revisited,44,3FMcVBx2TMq2f5gEPcUieC,Josiah and the Bonnevilles,61,"['modern folk rock', 'stomp and holler']",Endurance (Deluxe),spotify:album:1lHMwQNP6G1dkVeQto2yYA,0.506,0.427,6,1,-5.592,0.0275,0.643,0.0,0.13,0.212,76.593,150170,4,rock
7zVv9b6OHWjumvA4nZKXUR,"What Happened to You, Son?",48,4I2BJf80C0skQpp1sQmA0h,Belle and Sebastian,55,"['alternative rock', 'baroque pop', 'chamber pop', 'indie rock', 'melancholia', 'scottish indie', 'scottish rock', 'singer-songwriter', 'twee pop']","What Happened to You, Son?",spotify:album:1ZMvxAEsE0m5dBGtNBELvO,0.552,0.871,11,1,-6.194,0.0913,0.00201,3.19e-06,0.138,0.6,137.907,222187,4,rock
2xeoqLSy7FAXlkXlGL4eTy,Top Of The World,41,1Jl8u1U1GtBlwocZK5LWZv,JJ Grey & Mofro,51,"['jam band', 'modern blues', 'modern blues rock', 'swamp rock']",Olustee,spotify:album:1TK4IGwafhUenf6NTJsVPH,0.54,0.878,11,0,-5.645,0.0761,0.0144,0.00135,0.679,0.652,86.075,209859,4,rock
120cfHGvAMfwNgyRMM7H8g,Seminole Wind,41,1Jl8u1U1GtBlwocZK5LWZv,JJ Grey & Mofro,51,"['jam band', 'modern blues', 'modern blues rock', 'swamp rock']",Olustee,spotify:album:1TK4IGwafhUenf6NTJsVPH,0.441,0.791,2,1,-5.457,0.0344,0.0147,0.00404,0.299,0.374,133.503,376775,4,rock
0Dp087PGaKPkXlXMFsJgXQ,Black And Gold,41,31M8EXHYtEqOqVb1X7JRVe,Dead Poet Society,51,"['boston indie', 'modern alternative rock']",FISSION,spotify:album:6PUmlxsIK7Z2Gr5OSTa5YA,0.41,0.548,8,1,-6.574,0.0919,0.00856,0.00824,0.189,0.352,161.011,250482,4,rock
2CRHRuOY2KW0gdr6g1VMxd,Real Or Magic,46,6A5Ns1SpGWTt8SzXPwiqVE,Shannon & The Clams,42,"['bay area indie', 'indie garage rock', 'oakland indie', 'power-pop punk']",Real Or Magic,spotify:album:0b6XUCiA0QGgHDQPVZQGfL,0.569,0.506,7,1,-5.717,0.0249,0.429,5.6e-05,0.0907,0.606,71.977,226373,4,rock
71T5P0hVVyAq871Ml864SX,I'm So Free,37,1Fmb52lZ6Jv7FMWXXTPO3K,Joan Jett & the Blackhearts,63,"['glam punk', 'rock']",I'm So Free,spotify:album:1dy58qBMnCNkv3QlQtuFgP,0.391,0.838,11,1,-5.615,0.0843,0.00807,1.96e-06,0.208,0.792,176.851,152027,4,rock
4DmIVpeXMdU4ZtpAHAqS0q,Jesus And Therapy,31,1SbnQl7KrIVnXhYcQcMjL2,Josh Wilson,42,"['ccm', 'christian alternative rock', 'christian music']",Jesus And Therapy,spotify:album:1gmpSyPvxENQMGjiaqVVhi,0.369,0.217,7,1,-11.57,0.0314,0.66,1.85e-06,0.1,0.11,76.908,254583,4,rock
1t4vCc1Bbg5ey7OZ9NctbQ,Lithuania,43,3FMcVBx2TMq2f5gEPcUieC,Josiah and the Bonnevilles,61,"['modern folk rock', 'stomp and holler']",Endurance (Deluxe),spotify:album:1lHMwQNP6G1dkVeQto2yYA,0.524,0.399,9,1,-5.152,0.0323,0.782,0.0,0.17,0.313,108.481,206317,4,rock
2sEY3b8G71YuHxlu5XWJMN,"Let It Roll - From ""The Garfield Movie""",60,0u2FHSq3ln94y5Q57xazwf,Keith Urban,66,"['australian country', 'australian pop', 'contemporary country', 'country', 'country road', 'modern country rock']","Let It Roll (From ""The Garfield Movie"")",spotify:album:4NpZf8CeLUEZ22RZYfwluT,0.774,0.866,9,1,-3.835,0.0891,0.321,0.0,0.0643,0.897,114.066,163640,4,rock
0vcMpfHTJTJ7dOJP0m6IvY,Barefoot Blue Jean Night - Live from the Wiltern Theatre,33,1n2pb9Tsfe4SwAjmUac6YT,Jake Owen,63,"['contemporary country', 'country', 'country road', 'modern country rock']",Palm Trees & Palm Readers - Jake Owen: Live in Los Angeles,spotify:album:3bueDQEMFcyT5rYgTwkFJh,0.359,0.817,4,1,-9.579,0.0624,0.00292,0.000149,0.941,0.667,172.167,243893,4,rock
2qglv8uHXSKmygEBJE9pv9,All in Good Time,43,4M5nCE77Qaxayuhp3fVn4V,Iron & Wine,62,"['acoustic pop', 'chamber pop', 'indie folk', 'indie rock', 'stomp and holler']",Anyone's Game,spotify:album:5hwXI988oNGsIbOrdc2pQ7,0.514,0.373,1,1,-11.072,0.026,0.415,2.97e-06,0.118,0.612,100.596,255338,4,rock
7eKIHWpae7XscESXIBExDd,The One That Got Away - Live from the Wiltern Theatre,27,1n2pb9Tsfe4SwAjmUac6YT,Jake Owen,63,"['contemporary country', 'country', 'country road', 'modern country rock']",Palm Trees & Palm Readers - Jake Owen: Live in Los Angeles,spotify:album:3bueDQEMFcyT5rYgTwkFJh,0.343,0.829,0,1,-9.562,0.0655,0.00109,0.00187,0.99,0.59,120.023,231541,4,rock
7tC8T9inuQMWNYpSb7QeWe,Blue Jeans & White T-Shirts,49,7If8DXZN7mlGdQkLE2FaMo,The Gaslight Anthem,53,"['heartland rock', 'new jersey hardcore', 'new jersey indie', 'new jersey punk']",History Books - Short Stories,spotify:album:4VY9t7aej2aVG6LtmPE1IE,0.545,0.494,5,1,-8.139,0.025,0.266,3.4e-05,0.0971,0.141,88.928,217794,4,rock
